task,source,query,query_step,matched_source_step,diverge_step,reason_class,command_excerpt
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,5,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,6,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,1,1,1,safe_read,"sed -n '1,240p' /app/kernel.py; echo '---PROBLEM---'; sed -n '1,280p' /app/problem.py; echo '---TESTS---'; sed -n '1,240"
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183459-b793d37f,2,1,1,safe_read,"sed -n '1,240p' /app/kernel.py; echo '---PROBLEM---'; sed -n '1,280p' /app/problem.py; echo '---TESTS---'; sed -n '1,240"
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,1,1,1,safe_read,"sed -n '1,240p' /app/kernel.py; echo '---PROBLEM---'; sed -n '1,280p' /app/problem.py"
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183011,vliw-kernel-optimization-20260901-183540-74b9e1cb,2,1,1,safe_read,"sed -n '1,240p' /app/kernel.py; echo '---PROBLEM---'; sed -n '1,280p' /app/problem.py"
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,1,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,2,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,3,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,4,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,5,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183459-b793d37f,vliw-kernel-optimization-20260901-183011,6,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,1,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,2,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,3,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,4,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,5,1,1,other,path=/app/problem.py
vliw-kernel-optimization,vliw-kernel-optimization-20260901-183540-74b9e1cb,vliw-kernel-optimization-20260901-183011,6,1,1,other,path=/app/problem.py
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,1,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,2,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,3,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183348-fcb6497c,4,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,2,1,2,safe_read,ls -la /; find / -maxdepth 4 -type d \( -name interpreter -o -name spec_json \) 2>/dev/null | head -50
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,3,1,2,safe_read,ls -la /; find / -maxdepth 4 -type d \( -name interpreter -o -name spec_json \) 2>/dev/null | head -50
wasm-simd,wasm-simd-20260901-182909,wasm-simd-20260901-183422-44812ba4,4,1,2,safe_read,ls -la /; find / -maxdepth 4 -type d \( -name interpreter -o -name spec_json \) 2>/dev/null | head -50
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-182909,1,1,1,safe_read,find /app -type f | head -50; echo ---; ls /app/interpreter/src/
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-183422-44812ba4,1,1,1,safe_read,"pwd; find /app/interpreter -maxdepth 3 -type f | sort; rg -n ""TODO|todo|unimplemented|SIMD|0xfd|FD|panic!|unwrap"" /app/i"
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-183422-44812ba4,2,1,1,safe_read,"pwd; find /app/interpreter -maxdepth 3 -type f | sort; rg -n ""TODO|todo|unimplemented|SIMD|0xfd|FD|panic!|unwrap"" /app/i"
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-183422-44812ba4,3,1,1,safe_read,"pwd; find /app/interpreter -maxdepth 3 -type f | sort; rg -n ""TODO|todo|unimplemented|SIMD|0xfd|FD|panic!|unwrap"" /app/i"
wasm-simd,wasm-simd-20260901-183348-fcb6497c,wasm-simd-20260901-183422-44812ba4,4,1,1,safe_read,"pwd; find /app/interpreter -maxdepth 3 -type f | sort; rg -n ""TODO|todo|unimplemented|SIMD|0xfd|FD|panic!|unwrap"" /app/i"
wasm-simd,wasm-simd-20260901-183422-44812ba4,wasm-simd-20260901-183348-fcb6497c,1,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-183422-44812ba4,wasm-simd-20260901-183348-fcb6497c,2,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-183422-44812ba4,wasm-simd-20260901-183348-fcb6497c,3,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
wasm-simd,wasm-simd-20260901-183422-44812ba4,wasm-simd-20260901-183348-fcb6497c,4,1,1,safe_read,"find /app/interpreter -maxdepth 3 -type f | sort && printf '\n--- TODO/unsupported ---\n' && rg -n ""TODO|unimplemented|S"
